pair	counts	frac	slide_submitter_id
T_cells-endothelial_cells	153	0.2220609579100145	TCGA-FS-A1ZF-06A-01-TS1
T_cells-tumor_purity	41	0.05694444444444444	TCGA-FS-A1ZF-06A-01-TS1
endothelial_cells-tumor_purity	222	0.23442449841605068	TCGA-FS-A1ZF-06A-01-TS1
CAFs-T_cells	156	0.312625250501002	TCGA-EE-A2MF-06A-01-TS1
CAFs-endothelial_cells	125	0.5482456140350878	TCGA-EE-A2MF-06A-01-TS1
CAFs-tumor_purity	15	0.029182879377431907	TCGA-EE-A2MF-06A-01-TS1
T_cells-endothelial_cells	184	0.368	TCGA-EE-A2MF-06A-01-TS1
T_cells-tumor_purity	217	0.33748055987558323	TCGA-EE-A2MF-06A-01-TS1
endothelial_cells-tumor_purity	39	0.07514450867052024	TCGA-EE-A2MF-06A-01-TS1
CAFs-T_cells	193	0.5778443113772455	TCGA-D3-A1Q6-06A-01-TSA
CAFs-endothelial_cells	144	0.5603112840466926	TCGA-D3-A1Q6-06A-01-TSA
CAFs-tumor_purity	9	0.0379746835443038	TCGA-D3-A1Q6-06A-01-TSA
T_cells-endothelial_cells	184	0.5443786982248521	TCGA-D3-A1Q6-06A-01-TSA
T_cells-tumor_purity	20	0.05763688760806916	TCGA-D3-A1Q6-06A-01-TSA
endothelial_cells-tumor_purity	14	0.06167400881057269	TCGA-D3-A1Q6-06A-01-TSA
CAFs-T_cells	37	0.26618705035971224	TCGA-ER-A19H-06A-01-TSA
CAFs-endothelial_cells	45	0.4945054945054945	TCGA-ER-A19H-06A-01-TSA
CAFs-tumor_purity	38	0.09290953545232274	TCGA-ER-A19H-06A-01-TSA
T_cells-endothelial_cells	40	0.32786885245901637	TCGA-ER-A19H-06A-01-TSA
T_cells-tumor_purity	55	0.13157894736842105	TCGA-ER-A19H-06A-01-TSA
endothelial_cells-tumor_purity	22	0.0535279805352798	TCGA-ER-A19H-06A-01-TSA
CAFs-T_cells	29	0.11462450592885376	TCGA-EE-A20C-06A-01-TSA
CAFs-endothelial_cells	47	0.24479166666666666	TCGA-EE-A20C-06A-01-TSA
CAFs-tumor_purity	83	0.12028985507246377	TCGA-EE-A20C-06A-01-TSA
T_cells-endothelial_cells	32	0.15311004784688995	TCGA-EE-A20C-06A-01-TSA
T_cells-tumor_purity	47	0.06456043956043957	TCGA-EE-A20C-06A-01-TSA
endothelial_cells-tumor_purity	50	0.07331378299120235	TCGA-EE-A20C-06A-01-TSA
CAFs-T_cells	112	0.4307692307692308	TCGA-EE-A2MU-06A-02-TSB
CAFs-endothelial_cells	175	0.6272401433691757	TCGA-EE-A2MU-06A-02-TSB
CAFs-tumor_purity	11	0.05472636815920398	TCGA-EE-A2MU-06A-02-TSB
T_cells-endothelial_cells	186	0.6503496503496503	TCGA-EE-A2MU-06A-02-TSB
T_cells-tumor_purity	5	0.022222222222222223	TCGA-EE-A2MU-06A-02-TSB
endothelial_cells-tumor_purity	29	0.10247349823321555	TCGA-EE-A2MU-06A-02-TSB
CAFs-T_cells	400	0.6339144215530903	TCGA-ER-A2NF-01A-01-TSA
CAFs-endothelial_cells	576	0.8861538461538462	TCGA-ER-A2NF-01A-01-TSA
CAFs-tumor_purity	130	0.19578313253012047	TCGA-ER-A2NF-01A-01-TSA
T_cells-endothelial_cells	424	0.6395173453996983	TCGA-ER-A2NF-01A-01-TSA
T_cells-tumor_purity	84	0.14711033274956217	TCGA-ER-A2NF-01A-01-TSA
endothelial_cells-tumor_purity	186	0.28012048192771083	TCGA-ER-A2NF-01A-01-TSA
CAFs-T_cells	148	0.34418604651162793	TCGA-BF-AAOU-01A-01-TS1
CAFs-endothelial_cells	133	0.5076335877862596	TCGA-BF-AAOU-01A-01-TS1
CAFs-tumor_purity	12	0.055299539170506916	TCGA-BF-AAOU-01A-01-TS1
T_cells-endothelial_cells	221	0.5187793427230047	TCGA-BF-AAOU-01A-01-TS1
T_cells-tumor_purity	27	0.05947136563876652	TCGA-BF-AAOU-01A-01-TS1
endothelial_cells-tumor_purity	9	0.031141868512110725	TCGA-BF-AAOU-01A-01-TS1
CAFs-T_cells	237	0.3691588785046729	TCGA-GN-A265-06A-02-TSB
CAFs-endothelial_cells	604	0.94375	TCGA-GN-A265-06A-02-TSB
CAFs-tumor_purity	45	0.0703125	TCGA-GN-A265-06A-02-TSB
T_cells-endothelial_cells	228	0.3695299837925446	TCGA-GN-A265-06A-02-TSB
T_cells-tumor_purity	1	0.0035087719298245615	TCGA-GN-A265-06A-02-TSB
endothelial_cells-tumor_purity	33	0.05339805825242718	TCGA-GN-A265-06A-02-TSB
CAFs-T_cells	12	0.14814814814814814	TCGA-ER-A42K-06A-01-TSA
CAFs-endothelial_cells	36	0.33962264150943394	TCGA-ER-A42K-06A-01-TSA
CAFs-tumor_purity	32	0.056838365896980464	TCGA-ER-A42K-06A-01-TSA
T_cells-endothelial_cells	21	0.1721311475409836	TCGA-ER-A42K-06A-01-TSA
T_cells-tumor_purity	39	0.07001795332136446	TCGA-ER-A42K-06A-01-TSA
endothelial_cells-tumor_purity	82	0.14564831261101244	TCGA-ER-A42K-06A-01-TSA
CAFs-T_cells	161	0.301498127340824	TCGA-WE-AAA0-06A-01-TS1
CAFs-endothelial_cells	122	0.35260115606936415	TCGA-WE-AAA0-06A-01-TS1
